Data_test_N5_R2_O3_RS2;3.0;3.0;0.668
Data_test_N5_R3_O3_RS5;2.0;2.0;0.016
Data_test_N5_R4_O3_RS2;3.0;3.0;0.012
Data_test_N7_R4_O6_RS7;2.0;2.0;0.021
Data_test_N7_R5_O5_RS7;2.0;2.0;0.048
Data_test_N7_R5_O6_RS7;2.0;2.0;0.036
Data_test_N10_R10_O10_RS7;3.0;3.0;2.239
Data_test_N12_R12_O12_RS8;3.0;3.0;6.038
instance_N100_R50_O50_RS25;2.0;1.0;301.376
